<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200113,100000,8118.1400000,8118.1500000,8072.5400000,8096.1400000,163
20200113,110000,8096.1400000,8113.6800000,8083.2200000,8106.5200000,198
20200113,120000,8108.0300000,8118.1500000,8069.6300000,8070.0000000,135
20200113,130000,8066.8600000,8085.4100000,8045.0700000,8080.6900000,266
20200113,140000,8080.6900000,8098.7100000,8071.0000000,8073.8900000,131
20200113,150000,8073.9700000,8087.4700000,8061.0000000,8082.2000000,199
20200113,160000,8082.2000000,8090.3200000,8063.0100000,8074.8300000,213
20200113,170000,8074.8200000,8099.0000000,8061.9800000,8099.0000000,453
20200113,180000,8099.0000000,8127.1900000,8083.5600000,8088.9600000,576
20200113,190000,8088.9700000,8097.5000000,8081.5600000,8095.3400000,237
20200113,200000,8095.3400000,8119.9500000,8095.3300000,8108.4800000,280
20200113,210000,8107.9800000,8155.0000000,8102.6300000,8153.9400000,569
20200113,220000,8153.9400000,8157.9500000,8112.5300000,8130.0000000,279
20200113,230000,8129.9500000,8134.9900000,8113.0000000,8118.4300000,316
20200114,000000,8118.4200000,8138.6200000,8101.0000000,8104.5000000,223
20200114,010000,8105.6000000,8319.1400000,8105.2300000,8271.2300000,1265
20200114,020000,8271.2300000,8483.4300000,8271.2300000,8438.7700000,2505
20200114,030000,8437.7300000,8437.7300000,8377.1200000,8432.5700000,1040
20200114,040000,8432.5600000,8475.4500000,8378.0400000,8465.1500000,975
20200114,050000,8465.1400000,8590.3800000,8465.1400000,8521.2500000,2608
20200114,060000,8521.2600000,8540.0000000,8462.0000000,8483.1800000,691
20200114,070000,8481.3000000,8518.0000000,8464.0000000,8508.4200000,408
20200114,080000,8507.7800000,8542.9900000,8491.8400000,8505.7300000,448
20200114,090000,8500.3500000,8529.9400000,8496.0000000,8505.0000000,312
20200114,100000,8505.0100000,8560.6400000,8480.0000000,8491.7900000,375
20200114,110000,8492.2200000,8519.8000000,8458.2100000,8515.0100000,731
